unique_id,ME,MAE,RMSE,MAPE,model
hotel_0,-0.08201058201058198,0.1947089947089947,0.25243388153318447,34.10903217219256,Naive
hotel_105,-0.05318957771787961,0.12003593890386341,0.15947546913060318,16.684634338392627,Naive
hotel_112,0.06464285714285713,0.14125,0.16938537791084565,16.2639749521374,Naive
hotel_126,-0.009561752988047798,0.03551508252703471,0.06472987075914946,4.16605299427268,Naive
hotel_133,-0.014519906323185002,0.10749414519906324,0.14357137079220536,13.583397063031102,Naive
hotel_14,-0.050269541778975746,0.15026954177897575,0.1902328222848642,24.213389511551668,Naive
hotel_21,-0.017691798941798936,0.02999338624338624,0.05265958407566979,3.350900159664464,Naive
hotel_28,0.00880952380952381,0.00880952380952381,0.0633709161672215,100.0,Naive
hotel_35,0.13916015625,0.1664760044642857,0.19908610397120535,22.117279318021605,Naive
hotel_42,0.11200115673799882,0.2825621746674378,0.345949158007164,48.05921362094949,Naive
hotel_49,-0.08197130380536498,0.09831565814098567,0.12261114721973759,14.645699014009391,Naive
hotel_56,-0.017797619047619055,0.06089285714285716,0.0956571880155779,7.282582397244969,Naive
hotel_63,-0.10285714285714287,0.1737142857142857,0.22589910500871618,30.29948525555046,Naive
hotel_7,-0.15774778966961378,0.18206142391810143,0.23415892820300846,50.59417706363587,Naive
hotel_70,0.014473684210526328,0.06466165413533835,0.08358029623771338,16.453156051306184,Naive
hotel_77,-0.0014812955059000754,0.002560883755962842,0.004451043965719795,181.30718954248368,Naive
hotel_84,-0.04819574888779043,0.15165595650024719,0.200608928193706,25.64336871028981,Naive
hotel_91,-0.014767255216693443,0.1595505617977528,0.22121261046147234,22.878634193261124,Naive
hotel_98,-0.06301843317972348,0.1846774193548387,0.21722502220517337,108.56597206679585,Naive
hotel_0,-0.029805996472663132,0.21428571428571427,0.26715531035209855,35.41912145633045,SeasonalNaive
hotel_105,0.07385444743935311,0.10530098831985625,0.13887026835007862,12.210771709853843,SeasonalNaive
hotel_112,0.01642857142857144,0.11357142857142857,0.1399158707683197,13.375194366081617,SeasonalNaive
hotel_126,0.000455321570859423,0.046215139442231074,0.08818715360888009,5.3136533010374425,SeasonalNaive
hotel_133,0.01779859484777517,0.10725995316159251,0.14257852817028524,13.667983913430506,SeasonalNaive
