unique_id,ds,cutoff,y,Naive,SeasonalNaive,AutoETS,AutoARIMA,xgboost,NBEATS,NHITS
hotel_0,2023-02-11,2023-02-10,0.8271604938271605,0.691358024691358,0.9876543209876543,0.7277518609552107,0.7211944886775403,0.82314605,0.70228577,0.80346394
hotel_0,2023-02-12,2023-02-10,0.5185185185185185,0.691358024691358,0.6049382716049383,0.7277518609552107,0.7594755102138437,0.6604774,0.44410825,0.59306204
hotel_0,2023-02-13,2023-02-10,0.6296296296296297,0.691358024691358,0.9135802469135802,0.7277518609552107,0.7796718423399099,0.8173195,0.71490127,0.6769841
hotel_0,2023-02-14,2023-02-10,0.6296296296296297,0.691358024691358,0.7160493827160493,0.7277518609552107,0.7796718423399099,0.88904154,0.69410455,0.7551514
hotel_0,2023-02-15,2023-02-10,0.8888888888888888,0.691358024691358,0.6666666666666666,0.7277518609552107,0.7796718423399099,0.85854596,0.7240796,0.6450448
hotel_0,2023-02-16,2023-02-10,0.9876543209876543,0.691358024691358,0.8395061728395061,0.7277518609552107,0.7796718423399099,0.8993053,0.76251835,0.8307291
hotel_0,2023-02-17,2023-02-10,0.9876543209876543,0.691358024691358,0.691358024691358,0.7277518609552107,0.7796718423399099,0.894865,0.8004732,0.8584729
hotel_0,2023-02-18,2023-02-10,1.0,0.691358024691358,0.9876543209876543,0.7277518609552107,0.7796718423399099,0.92809284,0.8233678,0.9172211
hotel_0,2023-02-19,2023-02-10,0.9876543209876543,0.691358024691358,0.6049382716049383,0.7277518609552107,0.7796718423399099,0.6895224,0.59852314,0.79884934
hotel_0,2023-02-20,2023-02-10,0.8641975308641975,0.691358024691358,0.9135802469135802,0.7277518609552107,0.7796718423399099,0.8303561,0.7737069,0.7945581
hotel_0,2023-02-21,2023-02-10,0.9876543209876543,0.691358024691358,0.7160493827160493,0.7277518609552107,0.7796718423399099,0.89575773,0.8243345,0.7542626
hotel_0,2023-02-22,2023-02-10,0.9876543209876543,0.691358024691358,0.6666666666666666,0.7277518609552107,0.7796718423399099,0.9406011,0.8118499,0.8434844
hotel_0,2023-02-23,2023-02-10,0.9876543209876543,0.691358024691358,0.8395061728395061,0.7277518609552107,0.7796718423399099,0.9305973,0.7704499,0.92558146
hotel_0,2023-02-24,2023-02-10,0.9876543209876543,0.691358024691358,0.691358024691358,0.7277518609552107,0.7796718423399099,0.9348003,0.79063916,0.9183746
hotel_0,2023-02-25,2023-02-10,0.9876543209876543,0.691358024691358,0.9876543209876543,0.7277518609552107,0.7796718423399099,0.9579324,0.81166786,0.8539301
hotel_0,2023-02-26,2023-02-10,0.7654320987654321,0.691358024691358,0.6049382716049383,0.7277518609552107,0.7796718423399099,0.8249141,0.4894219,0.55612844
hotel_0,2023-02-27,2023-02-10,0.6666666666666666,0.691358024691358,0.9135802469135802,0.7277518609552107,0.7796718423399099,0.9020801,0.4944166,0.57714605
hotel_0,2023-02-28,2023-02-10,0.7160493827160493,0.691358024691358,0.7160493827160493,0.7277518609552107,0.7796718423399099,0.9275146,0.50447726,0.6352275
