unique_id,model
hotel_0,AutoARIMA
hotel_105,AutoARIMA
hotel_112,AutoARIMA
hotel_126,Naive
hotel_133,AutoETS
hotel_14,AutoARIMA
hotel_21,AutoETS
hotel_28,Naive
hotel_35,AutoETS
hotel_42,AutoARIMA
hotel_49,AutoARIMA
hotel_56,AutoETS
hotel_63,AutoARIMA
hotel_7,SeasonalNaive
hotel_70,Naive
hotel_77,SeasonalNaive
hotel_84,AutoARIMA
hotel_91,AutoETS
hotel_98,AutoARIMA
