unique_id,ME,MAE,RMSE,MAPE,model
hotel_0,-0.05906496963593487,0.1757821458777843,0.22521865487773537,30.951702010409726,XGBRegressor
hotel_105,0.03391489286681927,0.10777566370027943,0.13007625351717678,13.348735062368583,XGBRegressor
hotel_112,0.015943332910537723,0.09500589370727539,0.11347785633971577,11.195886116877247,XGBRegressor
hotel_126,0.04618726973853875,0.07246633592015583,0.08607610752329316,7.716510554261177,XGBRegressor
hotel_133,-0.004072148717538542,0.09085764141635538,0.11753811585871617,12.009153094840599,XGBRegressor
hotel_14,-0.051525364490853494,0.12295211463604334,0.15964394057888703,20.36548056311038,XGBRegressor
hotel_21,0.037119398940177184,0.054928620829784044,0.06934875432664057,5.746051012873023,XGBRegressor
hotel_28,0.007198644325891065,0.010218535875458094,0.06322346628772507,89.29860775408845,XGBRegressor
hotel_35,-0.02613186878817422,0.12749937985624585,0.15622658025170266,19.64444317542288,XGBRegressor
hotel_42,-0.017572678810016763,0.22668346723098848,0.27165632714847365,46.65607180968289,XGBRegressor
hotel_49,-0.09310187752069864,0.09916194311470368,0.12462638819957063,15.085151293733956,XGBRegressor
hotel_56,0.03471025024141584,0.08016060664540245,0.10149161342174855,8.903574213864532,XGBRegressor
hotel_63,-0.033724844334617504,0.15381156246245853,0.19098908767046627,25.523550633552727,XGBRegressor
hotel_7,-0.12435478800088653,0.1812934691154885,0.23875204120082413,47.98158639457215,XGBRegressor
hotel_70,0.017903648555876322,0.08909611703085721,0.12400104693581815,21.798654518609105,XGBRegressor
hotel_77,-0.0010103204575171863,0.0019076997814811152,0.002349927899808182,42.08477532895896,XGBRegressor
hotel_84,0.006254603911524531,0.13415505019482918,0.16942952098369438,21.730851092159295,XGBRegressor
hotel_91,0.002198219131887621,0.1621314280919049,0.19648019982136733,22.79357150342589,XGBRegressor
hotel_98,-0.049319586320887523,0.16574154608294986,0.19826239430251327,104.509189197471,XGBRegressor
