model,ME,MAE,RMSE,MAPE
Naive,0.019789072093653215,0.12185292067173344,0.18040286325770213,
SeasonalNaive,-0.016113267407766314,0.12143806500165638,0.17925655031099108,
AutoETS,0.019369184797887254,0.12544847645832585,0.18130199883458697,inf
AutoARIMA,-0.01720721473773734,0.11186894779333545,0.15162568872826787,inf
xgboost,,,,
NBEATS,-0.05257063165169933,0.14487226708162204,0.19329784107710207,inf
NHITS,-0.05327925022786332,0.1334552678453176,0.1819732821789036,inf
